id,name,description,ruling,reason,variations
ammonium-bicarbonate,Ammonium Bicarbonate,A chemical compound used as a leavening agent in baking.,halal,"Ammonium bicarbonate is a synthetic compound and does not contain any animal-derived ingredients or alcohol. Therefore, it is considered halal.","['ammonium bicarbonate', 'E503(ii)']"
ammonia-caramel,Ammonia Caramel,A food coloring produced by heating carbohydrates with ammonia compounds.,halal,Ammonia caramel is generally considered halal as the ingredients and production methods typically do not involve any haram substances.,"['ammonia caramel', 'E150c', 'caramel color (ammonia process)']"
ammonium-hydroxide,Ammonium Hydroxide,A chemical compound used in food processing as a pH adjuster.,halal,"Ammonium hydroxide is a chemical compound and does not contain any animal-derived ingredients or alcohol. Therefore, it is considered halal.","['ammonium hydroxide', 'E527']"
ammonium-carbonates,Ammonium Carbonates,A mixture of ammonium salts used as a leavening agent.,halal,"Ammonium carbonates are synthetic compounds and do not contain any animal-derived ingredients or alcohol. Therefore, they are considered halal.","['ammonium carbonates', 'E503']"
ammonium-carbonate,Ammonium Carbonate,A chemical compound used as a leavening agent in baking.,halal,"Ammonium carbonate is a synthetic compound and does not contain any animal-derived ingredients or alcohol. Therefore, it is considered halal.","['ammonium carbonate', 'E503(i)']"
ammonium-chloride,Ammonium Chloride,"A chemical compound used as a food additive, often as a flavor enhancer or acidity regulator.",halal,"Ammonium chloride is a synthetic compound and does not contain any animal-derived ingredients or alcohol. Therefore, it is considered halal.","['ammonium chloride', 'E510', 'sal ammoniac']"
amylase,Amylase,"An enzyme that breaks down starch into sugars, used in baking and food processing.",halal,"Amylase is typically derived from microbial or plant sources, which are considered halal unless produced using haram substances.","['amylase', 'alpha-amylase', 'diastase']"
anhydrous-caffeine,Anhydrous Caffeine,"A concentrated form of caffeine, a stimulant commonly added to energy drinks and supplements.",halal,Caffeine itself is halal. Anhydrous caffeine is simply caffeine with the water removed. It is halal unless haram substances are added during processing.,"['anhydrous caffeine', 'caffeine anhydrous']"
animal-rennet,Animal Rennet,An enzyme derived from the stomach of young mammals (typically calves) used to coagulate milk in cheese making.,uncertain,"Animal rennet is haram if derived from animals not slaughtered according to Islamic guidelines. If it is from an animal slaughtered according to Islamic guidelines, it is halal. Since the source is often not specified, it is best to consider it uncertain.","['animal rennet', 'rennet']"
anchovy-extract,Anchovy Extract,"A concentrated flavoring derived from anchovies, often used in sauces and seasonings.",uncertain,"Fish is generally considered halal. However, processing methods or added ingredients could render anchovy extract haram. Without specific details on processing, it is best to consider it uncertain.",['anchovy extract']
anhydrous-milk-fat,Anhydrous Milk Fat,Milk fat from which almost all water and non-fat solids have been removed.,halal,"As long as it is derived from permissible animals, milk and its derivatives are considered halal.","['anhydrous milk fat', 'AMF', 'butter oil', 'milkfat']"
animal-shortening,Animal Shortening,"Fat derived from animals, used in baking and cooking to create a tender texture.",uncertain,"If the animal source is halal and slaughtered according to Islamic guidelines, it is halal. Otherwise, it is haram. Since the source and slaughtering method are usually unspecified, it is best to consider it uncertain.",['animal shortening']
ammonium-stearoyl-lactylate,Ammonium Stearoyl Lactylate,An emulsifier and dough conditioner used in the food industry.,uncertain,"Stearoyl lactylate can be derived from either plant-based or animal-based sources. If it is derived from animal fat and the animal is not halal slaughtered, then it is haram. Due to the uncertainty of the source, it is considered uncertain.","['ammonium stearoyl lactylate', 'ASL', 'E481']"
antioxidant,Antioxidant,"A substance that inhibits oxidation, especially one used to counteract the deterioration of stored food products.",halal,Antioxidants are generally considered halal if they are derived from plant-based or synthetic sources and do not contain any haram ingredients.,['antioxidant']
anthocyanins,Anthocyanins,"Water-soluble vacuolar pigments that may appear red, purple, or blue according to the pH.",halal,"Anthocyanins are natural pigments found in many plants, fruits, and vegetables. They are considered halal as long as they are extracted using halal methods and do not contain any haram additives.","['anthocyanins', 'anthocyanin', 'e163']"
anticaking-agent,Anticaking Agent,"An additive placed in powdered or granulated materials, such as food, to prevent the formation of lumps.",uncertain,"Some anticaking agents are halal, such as silicon dioxide and calcium silicate, while others may be questionable depending on their source and processing. For example, some may contain animal-derived ingredients. Without specific information on the anticaking agent used, the ruling is uncertain.","['anticaking agent', 'anti-caking agent']"
apple-fiber,Apple Fiber,Dietary fiber derived from apples.,halal,Apple fiber is a plant-based product and is considered halal as long as it is not processed with any haram substances.,['apple fiber']
annatto-extract,Annatto Extract,A natural food coloring derived from the seeds of the achiote tree.,halal,Annatto extract is a natural plant-based coloring agent and is considered halal.,"['annatto extract', 'annatto', 'achiote extract', 'natural color e160b']"
antiblooming-agent-chocolate,Anti-blooming Agent (Chocolate),Substances used to prevent fat or sugar bloom on the surface of chocolate.,uncertain,"The halal status depends on the specific ingredients used in the anti-blooming agent. Some agents may contain animal-derived fats or other non-halal ingredients, making it uncertain without further information.","['antiblooming agent chocolate', 'anti-blooming agent chocolate']"
apple-cider-vinegar,Apple Cider Vinegar,Vinegar made from fermented apple juice.,halal,"Apple cider vinegar is produced through the fermentation of apple juice, which is a natural process. It is considered halal as long as no haram substances are added during production.",['apple cider vinegar']
antifoaming-agent,Antifoaming Agent,A chemical additive that reduces and hinders the formation of foam in industrial process liquids.,uncertain,"The halal status of antifoaming agents depends on their composition. Some may contain animal-derived ingredients or alcohol, making them haram. Without specific information on the ingredients, the ruling is uncertain.","['antifoaming agent', 'anti-foaming agent']"
annatto,Annatto,A natural food coloring derived from the seeds of the achiote tree.,halal,Annatto is a natural plant-based coloring agent and is considered halal.,"['annatto', 'achiote', 'roucou', 'urucum']"
arrowroot-starch,Arrowroot Starch,"A starch obtained from the arrowroot plant, used as a thickening agent in food.",halal,Arrowroot starch is derived from a plant source and does not contain any haram ingredients.,['arrowroot starch']
artificial-cheese-flavor,Artificial Cheese Flavor,A synthetic flavor designed to mimic the taste of cheese.,uncertain,"The halal status depends on the ingredients used in the artificial flavor, particularly whether any animal-derived components or alcohol are used as solvents. Without specific ingredient information, it is uncertain.",['artificial cheese flavor']
argon,Argon,An inert gas used in food packaging to preserve freshness.,halal,Argon is an inert gas and does not react with food. It is used in packaging to prevent oxidation and is considered halal.,['argon']
artificial-chocolate-flavor,Artificial Chocolate Flavor,A synthetic flavor designed to mimic the taste of chocolate.,uncertain,"The halal status depends on the ingredients used in the artificial flavor, particularly whether any alcohol is used as a solvent. Without specific ingredient information, it is uncertain.",['artificial chocolate flavor']
artificial-beef-flavor,Artificial Beef Flavor,A synthetic flavor designed to mimic the taste of beef.,uncertain,"The halal status depends on the ingredients used in the artificial flavor. If the flavor uses any non-halal animal products or alcohol, it would be haram. Without specific ingredient information, it is uncertain.",['artificial beef flavor']
arrowroot-powder,Arrowroot Powder,"A powder obtained from the arrowroot plant, used as a thickening agent in food.",halal,Arrowroot powder is derived from a plant source and does not contain any haram ingredients.,['arrowroot powder']
artificial-color,Artificial Color,Synthetic coloring agents used to enhance the appearance of food.,uncertain,"Some artificial colors are halal, while others may be haram depending on their source and processing. Some may be derived from non-halal animal sources or use alcohol in processing. Without knowing the specific color, the ruling is uncertain.","['artificial color', 'artificial colours', 'food color', 'food colours']"
arrowroot-flour,Arrowroot Flour,"A flour obtained from the arrowroot plant, used as a thickening agent in food.",halal,Arrowroot flour is derived from a plant source and does not contain any haram ingredients.,['arrowroot flour']
artificial-butter-flavor,Artificial Butter Flavor,A synthetic flavor designed to mimic the taste of butter.,uncertain,"The halal status depends on the ingredients used in the artificial flavor, particularly whether any animal-derived components or alcohol are used as solvents. Without specific ingredient information, it is uncertain.",['artificial butter flavor']
artificial-chicken-flavor,Artificial Chicken Flavor,A synthetic flavor designed to mimic the taste of chicken.,uncertain,"The halal status depends on the ingredients used in the artificial flavor. If the flavor uses any non-halal animal products or alcohol, it would be haram. Without specific ingredient information, it is uncertain.",['artificial chicken flavor']
artificial-vanilla,Artificial Vanilla,A synthetic flavoring agent that mimics the taste of natural vanilla.,halal,Artificial vanilla is chemically synthesized and does not contain any animal-derived ingredients or alcohol produced through impermissible processes.,"['artificial vanilla', 'synthetic vanilla flavoring', 'vanilla flavoring (artificial)']"
ascorbic-acid,Ascorbic Acid in Flour,A naturally occurring organic compound with antioxidant properties used in flour.,halal,"Ascorbic acid is typically produced synthetically or derived from plant sources, and is considered halal unless produced using haram substances.",['ascorbic acid in flour']
ascorbyl-stearate,Ascorbyl Stearate,A fat-soluble ester formed from ascorbic acid (vitamin C) and stearic acid. It is used as an antioxidant and preservative in food products.,uncertain,"Stearic acid can be derived from both plant and animal sources. If it is derived from a non-halal animal source, the ingredient would be considered haram. Therefore, without knowing the source, it is uncertain.","['ascorbyl stearate', 'e305']"
ascorbyl-palmitate,Ascorbyl Palmitate,A fat-soluble ester formed from ascorbic acid (vitamin C) and palmitic acid. It is used as an antioxidant and preservative in food products.,uncertain,"Palmitic acid can be derived from both plant and animal sources. If it is derived from a non-halal animal source, the ingredient would be considered haram. Therefore, without knowing the source, it is uncertain.","['ascorbyl palmitate', 'e304']"
artificial-sweetener,Artificial Sweetener,A synthetic sugar substitute used to sweeten foods and beverages without adding significant calories.,halal,Most artificial sweeteners are chemically synthesized and do not contain any animal-derived ingredients or alcohol produced through impermissible processes.,"['artificial sweetener', 'synthetic sweetener']"
aspartame,Aspartame,"An artificial, non-saccharide sweetener used as a sugar substitute in foods and beverages.",halal,Aspartame is a synthetic sweetener produced through a chemical process. The raw materials and the production process do not involve any haram substances.,"['aspartame', 'E951']"
atta,Atta Flour,"A whole wheat flour used to make Indian breads like roti, chapati, and paratha.",halal,"Atta flour is made from whole wheat grains, which are inherently halal. The production process typically involves cleaning and grinding the wheat, without the addition of any non-halal substances.","['atta', 'atta flour', 'whole wheat flour']"
aspartic-acid,Aspartic Acid,An amino acid used in the biosynthesis of proteins.,halal,Aspartic acid is an amino acid and is generally considered halal unless it is derived from a non-halal source or processed using haram substances.,"['aspartic acid', 'aminosuccinic acid']"
azorubine,Azorubine,A synthetic red food dye used in various food products.,uncertain,"Some sources indicate that azorubine may be derived from non-halal animal products or produced using processes that involve haram substances. Due to conflicting information, its halal status is uncertain.","['azorubine', 'azorubine carmoisine', 'carmoisine', 'E122']"
azodicarbonamide,Azodicarbonamide,A chemical additive used as a flour bleaching agent and dough conditioner in the baking industry.,halal,Azodicarbonamide is a synthetic chemical. The raw materials and production process do not involve any haram substances.,"['azodicarbonamide', 'ada', 'E927']"
bamboo-fiber,Bamboo Fiber,"A type of dietary fiber extracted from bamboo plants, used to improve texture and increase fiber content in food products.",halal,Bamboo fiber is derived from a plant source and does not contain any haram ingredients.,['bamboo fiber']
baking-powder,Baking Powder,A dry chemical leavening agent used to increase the volume and lighten the texture of baked goods.,uncertain,"Baking powder is generally halal, but some formulations may contain ingredients like sodium aluminum sulfate or cream of tartar derived from non-halal sources. It is best to check the specific ingredients.",['baking powder']
bajra-flour,Bajra Flour,"Flour made from pearl millet, a type of grain.",halal,Bajra flour is derived from a plant source and does not contain any haram ingredients.,"['bajra flour', 'pearl millet flour']"
bakery-improver,Bakery Improver,"A blend of ingredients used to improve the texture, volume, and shelf life of baked goods.",uncertain,"Bakery improvers can contain various ingredients, some of which may be haram, such as emulsifiers (mono- and diglycerides) or enzymes derived from non-halal sources. It is best to check the specific ingredients.","['bakery improver', 'dough conditioner']"
banana-flour,Banana Flour,"Flour made from green bananas, often used as a gluten-free alternative.",halal,Banana flour is derived from a plant source and does not contain any haram ingredients.,"['banana flour', 'green banana flour']"
barbecue-seasoning,Barbecue Seasoning,A blend of spices and flavorings used to season barbecue dishes.,uncertain,"Barbecue seasoning can contain various ingredients, some of which may be haram, such as natural flavorings derived from non-halal sources or anti-caking agents that may contain animal-derived components. It is best to check the specific ingredients.","['barbecue seasoning', 'bbq seasoning']"
baking-soda,Baking Soda,A chemical compound used as a leavening agent in baking.,halal,Baking soda is a mineral salt and is considered halal.,"['baking soda', 'sodium bicarbonate']"
barley-glucan,Barley Glucan,A soluble fiber derived from barley.,halal,Barley glucan is derived from a plant source and does not contain any haram ingredients.,"['barley glucan', 'beta-glucan from barley']"
barley-flour,Barley Flour,Flour made from barley grains.,halal,Barley flour is derived from a plant source and does not contain any haram ingredients.,['barley flour']
beef-fat,Beef Fat,Fat derived from beef.,uncertain,"The halal status depends on whether the animal was slaughtered according to Islamic guidelines. If the beef is from a halal source, the fat is halal; otherwise, it is haram.","['beef fat', 'beef tallow', 'tallow']"
beef-broth,Beef Broth,A savory liquid made by simmering beef bones and meat in water.,uncertain,"The halal status depends on whether the beef is sourced from animals slaughtered according to Islamic guidelines. If the beef is halal, the broth is halal; otherwise, it is haram.","['beef broth', 'beef stock']"
barley-malt-syrup,Barley Malt Syrup,A sweetener derived from barley.,halal,"Barley malt syrup is derived from barley and does not contain any haram ingredients. However, it should be avoided if used as an intoxicating agent.","['barley malt syrup', 'malt syrup', 'barley syrup']"
basil-seed-gum,Basil Seed Gum,"A natural gum derived from basil seeds, used as a thickening or stabilizing agent in foods.",halal,"Basil seed gum is derived from basil seeds, which are considered halal. It does not contain any haram ingredients.",['basil seed gum']
beef-gelatin,Beef Gelatin,A gelling agent derived from collagen obtained from beef.,uncertain,"The halal status depends on whether the beef is sourced from animals slaughtered according to Islamic guidelines. If the beef is halal, the gelatin is halal; otherwise, it is haram.","['beef gelatin', 'gelatin from beef', 'halal gelatin']"
beeswax,Beeswax,A natural wax produced by honeybees.,halal,Beeswax is a natural substance produced by bees and is considered halal.,"['beeswax', 'E901']"
beet-juice-powder,Beet Juice Powder,Dehydrated beet juice.,halal,Beet juice powder is derived from beets and does not contain any haram ingredients.,"['beet juice powder', 'beetroot powder']"
beef-extract,Beef Extract,A concentrated substance made by extracting the soluble components of beef.,uncertain,"The halal status depends on whether the beef is sourced from animals slaughtered according to Islamic guidelines. If the beef is halal, the extract is halal; otherwise, it is haram.","['beef extract', 'beef essence']"
besan,Besan,"Flour made from ground chickpeas, used in various culinary applications.",halal,"Besan is made from chickpeas, which are inherently halal. The production process typically does not involve any haram substances.","['besan', 'gram flour', 'chickpea flour']"
bentonite,Bentonite,An absorbent aluminium phyllosilicate clay.,halal,Bentonite is a naturally occurring clay and is considered halal as it does not contain any haram substances.,"['bentonite', 'montmorillonite']"
beetroot-red-betanin,Beetroot Red (Betanin),A red food dye obtained from beets.,halal,"Beetroot red (betanin) is a natural pigment extracted from beetroot, which is considered halal.","['beetroot red betanin', 'betanin', 'beetroot red', 'E162']"
beta-carotene,Beta Carotene,"A red-orange pigment found in plants and fruits, especially carrots.",halal,"Beta-carotene is derived from plant sources and is halal. It can also be produced synthetically, but the synthetic process does not involve any haram substances.","['beta carotene', 'β-carotene', 'provitamin A', 'E160a']"
beet-sugar,Beet Sugar,Sugar produced from sugar beets.,halal,Beet sugar is derived from sugar beets and the production process does not involve any haram substances.,"['beet sugar', 'sugar beet', 'beetroot sugar']"
beetroot-flour,Beetroot Flour,Flour made from dehydrated beets.,halal,"Beetroot flour is made from beets, which are inherently halal. The production process typically does not involve any haram substances.","['beetroot flour', 'beet flour']"
beta-apo-8-carotenal,Beta-Apo-8'-Carotenal,A carotenoid food coloring.,halal,Beta-Apo-8'-Carotenal is a carotenoid and its production does not involve any haram substances.,"['betaapo8carotenal', ""beta-apo-8'-carotenal"", 'E160e']"
black-rice-flour,Black Rice Flour,Flour made from ground black rice.,halal,Black rice flour is derived from a naturally halal source (black rice) and does not involve any haram processing or additives.,"['black rice flour', 'black rice powder']"
bht,Butylated Hydroxytoluene,A synthetic antioxidant used as a food preservative.,uncertain,"BHT is synthetically produced and generally considered halal unless produced using haram ingredients or processes. Without specific information on the source and production, it is best to consider it uncertain.","['bht', 'butylated hydroxytoluene', 'e321']"
black-salt,Black Salt,A type of unrefined salt.,halal,Black salt is a type of mineral salt and is considered halal unless contaminated with haram substances.,"['black salt', 'kala namak', 'indian black salt']"
binding-agent,Binding Agent,A substance used to hold or draw other materials together to form a cohesive whole.,uncertain,"The halal status depends on the source and composition of the binding agent. Some binding agents are plant-based (halal), while others may be animal-derived (uncertain, depending on the animal and slaughtering method).","['binding agent', 'binder']"
beverages-sweeteners,Beverages Sweeteners,Substances used to add sweetness to beverages.,uncertain,"The halal status depends on the source and type of sweetener used. Common sweeteners like sugar, stevia, and corn syrup are halal, but others may be uncertain due to processing or additives.","['beverages sweeteners', 'beverage sweetener']"
betacyclodextrin,Betacyclodextrin,"A cyclic oligosaccharide used as a food additive to encapsulate and stabilize flavors, fragrances, and other ingredients.",halal,"Betacyclodextrin is typically produced from starch through enzymatic conversion, which is considered halal unless the enzymes used are derived from haram sources.","['betacyclodextrin', 'beta-cyclodextrin', 'β-cyclodextrin']"
bha,Butylated Hydroxyanisole,An antioxidant food additive.,uncertain,"BHA is a synthetic antioxidant. The halal status depends on the ingredients and processes used in its production. Without specific information, it is best to consider it uncertain.","['bha', 'butylated hydroxyanisole', 'e320']"
bonito-flakes,Bonito Flakes,"Dried, fermented, and smoked skipjack tuna flakes used in Japanese cuisine.",halal,"Bonito flakes are derived from fish, and seafood is considered halal.","['bonito flakes', 'katsuobushi']"
blue-corn-flour,Blue Corn Flour,"Flour made from ground blue corn, used in various food products.",halal,Blue corn flour is derived from a plant source and does not contain any haram ingredients.,"['blue corn flour', 'blue cornmeal']"
bone-meal,Bone Meal,"A mixture of finely ground animal bones and waste products from meat processing plants, used as a fertilizer and animal feed supplement.",uncertain,"The halal status depends on the source animal and the method of slaughter. If the animal was not halal-slaughtered, it is considered haram. If it is confirmed that the source is halal, then it is halal.","['bone meal', 'bone flour']"
blue-cheese-powder,Blue Cheese Powder,"Dehydrated blue cheese, used as a flavoring agent.",uncertain,"The halal status depends on the enzymes used in the cheese-making process. If animal-derived enzymes are used, the animal must be halal-slaughtered for the cheese to be halal.",['blue cheese powder']
blue-2,Blue 2,A synthetic food coloring also known as indigotine.,halal,Synthetic food colorings are generally considered halal unless they contain haram ingredients during production.,"['blue 2', 'indigotine', 'E132']"
blue-1,Blue 1,A synthetic food coloring also known as brilliant blue FCF.,halal,Synthetic food colorings are generally considered halal unless they contain haram ingredients during production.,"['blue 1', 'brilliant blue fcf', 'E133']"
